title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Star Wars: Episode VI - Return of the Jedi,134 min,Fantasy,Richard Marquand,George Lucas,,8.4,580628 users
Das Boot,149 min,War,Wolfgang Petersen,Lothar G. Buchheim,,8.4,155731 users
M,117 min,Thriller,Fritz Lang,Fritz Lang,,8.4,91151 users
Once Upon a Time in America,229 min,Drama,Sergio Leone,Leonardo Benvenuti,,8.4,201893 users
Amélie,122 min,Romance,Jean-Pierre Jeunet,Jean-Pierre Jeunet,,8.4,490449 users
Inside Out,94 min,Comedy,Ronnie Del Carmen,Ronnie Del Carmen,,8.4,172886 users
Witness for the Prosecution,116 min,Thriller,Billy Wilder,Billy Wilder,,8.4,55755 users
Reservoir Dogs,99 min,Drama,Quentin Tarantino,Roger Avary,,8.4,601530 users
Braveheart,178 min,History,Mel Gibson,Randall Wallace,,8.4,676228 users
Toy Story 3,103 min,Comedy,Lee Unkrich,Andrew Stanton,,8.4,490440 users
A Clockwork Orange,136 min,Sci-Fi,Stanley Kubrick,Anthony Burgess,,8.4,508671 users
Requiem for a Dream,102 min,Drama,Darren Aronofsky,Hubert Selby Jr.,,8.4,528136 users
Taxi Driver,113 min,Drama,Martin Scorsese,Paul Schrader,,8.4,461081 users
Double Indemnity,107 min,Film-Noir,Billy Wilder,Raymond Chandler,,8.4,89599 users
To Kill a Mockingbird,129 min,Drama,Robert Mulligan,Horton Foote,,8.4,195482 users
Lawrence of Arabia,216 min,Drama,David Lean,Robert Bolt,,8.4,176214 users
Eternal Sunshine of the Spotless Mind,108 min,Sci-Fi,Michel Gondry,Michel Gondry,,8.4,610450 users
Full Metal Jacket,116 min,War,Stanley Kubrick,Stanley Kubrick,,8.3,441291 users
Amadeus,160 min,History,Milos Forman,Peter Shaffer,,8.3,248086 users
The Sting,129 min,Drama,George Roy Hill,David S. Ward,,8.3,160983 users
Singin' in the Rain,103 min,Romance,Gene Kelly,Betty Comden,,8.4,137280 users
Ladri di biciclette,93 min,Drama,Vittorio De Sica,Luigi Bartolini,,8.4,85233 users
2001: A Space Odyssey,160 min,Sci-Fi,Stanley Kubrick,Arthur C. Clarke,,8.3,387771 users
Snatch.,104 min,Crime,Guy Ritchie,Guy Ritchie,,8.3,554458 users
Monty Python and the Holy Grail,91 min,Fantasy,Terry Jones,John Cleese,,8.3,353571 users
The Kid,68 min,Family,Charles Chaplin,Charles Chaplin,,8.4,58894 users
Toy Story,81 min,Comedy,John Lasseter,Pete Docter,,8.3,559283 users
Per qualche dollaro in più,132 min,Western,Sergio Leone,Fulvio Morsella,,8.3,141262 users
